,odds
2216,-265
2217,205
2218,188
2219,-240
2220,104
2221,-129
2222,135
2223,-160
2224,180
2225,-230
2226,215
2227,-278
2228,180
2229,-210
2230,-230
2231,180
2232,350
2233,-450
2234,195
2235,-230
2236,475
2237,-670
2238,114
2239,-141
2240,-278
2241,215
2242,260
2243,-345
2244,132
2245,-165
2246,360
2247,-480
2248,-215
2249,170
2250,188
2251,-240
2252,-278
2253,215
2254,115
2255,-143
2256,-590
2257,430
2258,300
2259,-400
2260,-210
2261,165
2262,150
2263,-175
2264,115
2265,-135
2266,-200
2267,170
2268,-1115
2269,700
2270,-770
2271,550
2272,128
2273,-159
2274,118
2275,-148
2276,104
2277,-127
2278,-360
2279,270
2280,188
2281,-240
2282,-525
2283,425
2284,-375
2285,295
2286,-107
2287,-117
2288,750
2289,-1250
2290,190
2291,-245
2292,-215
2293,170
2294,-590
2295,430
2296,116
2297,-143
2298,-305
2299,235
2300,-910
2301,600
2302,-205
2303,163
2304,128
2305,-159
2306,105
2307,-127
2308,-250
2309,200
2310,110
2311,-136
2312,-335
2313,250
2314,245
2315,-315
2316,205
2317,-265
2318,135
2319,-167
2320,-3335
2321,1300
2322,135
2323,-160
2324,235
2325,-290
2326,240
2327,-315
2328,150
2329,-180
2330,-315
2331,245
2332,-180
2333,143
2334,-230
2335,190
2336,-250
2337,195
2338,-560
2339,410
2340,100
2341,-124
2342,-112
2343,-200
2344,-157
2345,125
2346,190
2347,-245
2348,-205
2349,163
2350,110
2351,-137
2352,102
2353,-127
2354,-200
2355,155
2356,-220
2357,170
2358,-129
2359,104
2360,575
2361,-850
2362,290
2363,-385
2364,380
2365,-500
2366,-133
2367,110
2368,-109
2369,-114
2370,-132
2371,107
2372,-670
2373,475
2374,-180
2375,143
2376,240
2377,-315
2378,170
2379,-220
2380,155
2381,-190
2382,-195
2383,155
2384,-195
2385,155
2386,120
2387,-140
2388,-420
2389,310
2390,-150
2391,130
2392,-195
2393,155
2394,-230
2395,180
2396,-1430
2397,850
2398,-165
2399,132
2400,-240
2401,200
2402,133
2403,-167
2404,110
2405,-130
2406,175
2407,-225
2408,-192
2409,160
2410,107
2411,-132
2412,-345
2413,265
2414,-360
2415,270
2416,150
2417,-190
2418,-180
2419,150
2420,170
2421,-220
2422,335
2423,-455
2424,-175
2425,135
2426,-195
2427,155
2428,240
2429,-315
2430,-335
2431,260
2432,-139
2433,112
2434,-186
2435,150
2436,-265
2437,205
2438,-230
2439,180
2440,-300
2441,250
2442,-121
2443,-103
2444,-530
2445,380
2446,-205
2447,170
2448,-560
2449,400
2450,112
2451,-139
2452,-225
2453,180
2454,-186
2455,150
2456,275
2457,-350
2458,-715
2459,500
2460,195
2461,-235
2462,250
2463,-335
2464,-215
2465,180
2466,-198
2467,164
2468,155
2469,-195
2470,205
2471,-265
2472,300
2473,-400
2474,190
2475,-235
2476,215
2477,-275
2478,175
2479,-225
2480,-195
2481,155
2482,-143
2483,115
2484,455
2485,-625
2486,-315
2487,240
2488,-143
2489,116
2490,-150
2491,120
2492,250
2493,-335
2494,155
2495,-195
2496,205
